Название	Название-2	Соседние станции	Субъект РФ	Направление	lat	lng
Лихоборы	ЕСР: 198813		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лосиноостровская	Лосиноостровская	Лось, Северянин, Москва-Товарная-Ярославская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лось	Лось	Лосиноостровская, Перловская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лошатовка	Лошатовка	12 км, 18 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Луч	Луч	Шарапова Охота, Чехов	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Львовская	Львовская	Колхозная, Гривно	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Люблино	Люблино	Люблино-Сортировочное, Текстильщики	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Люблино-Сортировочное		Люблино, Депо	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Лютик	Лютик	Мякинино, Яганово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Макеево-Московское	Макеево-Московское	РАЗЪЕЗД 47 КМ, 35 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Маленковская	Маленковская	Москва 3, Яуза	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Малино	Малино	332 км, 341 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Мамонтовская	Мамонтовская	Клязьма, Пушкино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Машиностроитель	Машиностроитель	Электросталь, Ногинск	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Металлург	Металлург	Фрязево, Электросталь	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Михнево	Михнево	Шугарево, 328 км, Усады-Окружные, Привалово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Монино	Монино	Осеевская, Кашино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Москва 3	Москва-3	Москва-Пассажирская-Ярославская, Маленковская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Каланчевская		Москва-Пассажирская-Курская, Ржевская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Пассажирская-Курская	Москва-Пассажирская-Курская	Москва-Товарная Курская, Москва-Каланчевская, Серп и Молот	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Пассажирская-Павелецкая	Москва-Пассажирская-Павелецкая	Москва-Товарная-Павелецкая	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Пассажирская-Ярославская	Москва-Пассажирская-Ярославская	Москва 3	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Товарная Курская		Калитники, Москва-Пассажирская-Курская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Товарная-Павелецкая	Москва-Товарная-Павелецкая	ЗИЛ, Москва-Пассажирская-Павелецкая	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Товарная-Павелецкая	ЕСР: 193504		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Товарная-Ярославская		Лосиноостровская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Южный Порт	ЕСР: 199411		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Южный Порт		Угрешская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Южный-Порт (перев.)	ЕСР: 199411	Москва-Южный Порт, Угрешская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москва-Южный-Порт (эксп.)	ЕСР: 199411	Москва-Южный Порт	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Москворечье	Москворечье	Царицыно, Перерва	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Мытищи	Мытищи	Тайнинская, Строитель, Динамо, Подлипки-Дачные	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Мякинино	Мякинино	Шубатово, Лютик	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Назарьево	Назарьево	Павловский Посад, Дрезна	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Наугольный	НаугольныйНаугольный	81 км, 39 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Нижние Котлы	Нижние Котлы	Коломенское, ЗИЛ	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Никольское	Никольское	Реутово, Салтыковская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Новогиреево	Новогиреево	Кусково, Реутово	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Новопролетарская			Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Ногинск	Ногинск	Машиностроитель, Захарово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ожерелье	Ожерелье	Тесна, 123 км, 121 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ока	ОкаОка	Серпухов, 107 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
ОКА	ЕСР: 190101		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Орехово-Зуево	Орехово-Зуево	Крутое, 87 км, Северный, 185 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Осеевская	Осеевская	Циолковская, Монино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Осенка	Осёнка	Непецино, Шкинь	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Павловский Посад	Павловский Посад	Вохна, Назарьево, Ленская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Перерва	Перерва	Москворечье, Депо	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Перловская	Перловская	Лось, Тайнинская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Пирогово		Победа	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Победа		Динамо, Пирогово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Повадино	Повадино	298 км, 309 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Подлипки-Дачные	Подлипки-Дачные	Мытищи, Болшево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Подольск	Подольск	Кутузовская, Силикатная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Покровское	Покровская	Красный Строитель, Царицыно	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Поточино	Поточино	178 км, 185 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Правда	Правда	Заветы Ильича, Зеленоградская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Пресня		Кутузово, Серебряный Бор	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Привалово	Привалово	Михнево, Вельяминово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Пурлово	Пурлово	131 км, 123 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Путилово	Путилово	Красноармейск, Федоровское	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Пушкино	Пушкино	Мамонтовская, Заветы Ильича	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Пчеловодное	Пчеловодное	137 км (Тульская область), 126 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Радонеж	Радонеж	Калистово, Абрамцево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
РАЗЪЕЗД 47 КМ		Латыгоры, Макеево-Московское	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Расторгуево	Расторгуево	Калинина, Булатниково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Рахманово	Рахманово	Софрино 2, Федоровское	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Реутово	Реутово	Новогиреево, Никольское, Стройка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ржевская	Ржевская	Москва-Каланчевская, Дмитровская	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Ростокино	ЕСР: 199017		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Салтыковская	Салтыковская	Никольское, Кучино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Северный	СеверныйСеверный	Орехово-Зуево, Депо	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Северянин	Северянин	Лосиноостровская, Яуза	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Семхоз	Семхоз	Хотьково, Сергиев Посад	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Сергиев Посад	Сергиев Посад	Семхоз, 76 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Серебряные Пруды	Серебряные Пруды	Кораблевка, Дудино-Серебряное	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Серебряный Бор		Пресня, Братцево	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Серп и Молот	Серп и молот	Москва-Пассажирская-Курская, Карачарово	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Серпухов	Серпухов	Ока, Авангард, 4 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Серпухов-Ветка		4 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Силикатная	Силикатная	Подольск, Щербинка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ситенка	Ситенка	Ступино, Жилево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Соколовская	Соколовская	Загорянская, Воронок	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Сотниково	Сотниково	Яганово, Колычево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Софрино	Софрино	43 км, Ашукинская, Софрино 2	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Софрино 2	Софрино-2Посёлок Дальний	Софрино, Рахманово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Столбовая	Столбовая	283 км, 66 км, Колхозная, Детково	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Строитель	Строитель	Мытищи, Челюскинская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Стройка	Стройка	Реутово, Горенки	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Ступино	Ступино	Акри, Ситенка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Тайнинская	Тайнинская	Перловская, Мытищи	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Тарасовская	Тарасовская	Челюскинская, Клязьма	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Текстильщики	Текстильщики	Люблино, Калитники	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Тесна	Тесна	Кашира-Пассажирская, Ожерелье	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Топканово	Топканово	137 км, 131 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Угрешская	ЕСР: 199515		Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Узуново	Узуново	162 км, 152 км, 7 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Усады-Окружные	Усады-Окружные	Михнево, 312 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Фабрика 1 Мая	Фабрика 1 Мая	Болшево, Зеленый Бор	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Федоровское	Фёдоровское	Рахманово, Путилово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Фрязево	Фрязево	Есино, Казанское, Металлург, 64 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Фрязино	Фрязино-Товарная	Детская, Фрязино-Пассажирская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Фрязино-Пассажирская	Фрязино-Пассажирская	Фрязино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Хотьково	Хотьково	Абрамцево, Семхоз	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Храпуново	Храпуново	43 км, Есино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Царицыно	Царицыно	Покровское, Москворечье, Бирюлево-Товарная	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Центральный	Центральный блок-постЦентральный блок-пост	122 км, Депо	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Циолковская	Циолковская	Бахчиванджи, Осеевская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Челюскинская	Челюскинская	Строитель, Тарасовская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Чепелево	Чепелёво	Чехов, 66 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Черкизово		Белокаменная, Лефортово	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Черное	Чёрное	Железнодорожная, 30 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Чертаново	Чертаново	Бирюлево-Товарная, Коломенское	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Чехов	Чехов	Луч, Чепелево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Чкаловская		Гагаринская, Бахчиванджи	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Чухлинка	ЧухлинкаЧухлинкаЧухлинка	Кусково, Карачарово	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
Шарапова Охота	Шарапова Охота	92 км, Луч	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Шкинь	Шкинь	Осенка, Лесные Дары	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Шматово	Шматово	Жилево, Колычево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Шубатово	Шубатово	Лесные Дары, Мякинино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Шугарево	Шугарово	85 км, Михнево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Щелково	Щёлково	Воронок, Гагаринская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Щербинка	Щербинка	Силикатная, Бутово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Электрогорск	Электрогорск	14 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Электросталь	Электросталь	Металлург, Машиностроитель	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Электроугли	Электроугли	33 км, 43 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Яганово	Яганово	Лютик, Сотниково, 341 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Курское отд.		
Яуза	Яуза	Маленковская, Северянин	Г.МОСКВА	Московская ж.д., Московско-Курское отд.		
113 км	113 км	Хорошево, Коломна	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
13 км		Рудниковская, Хорлово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
132 км		Черная, Луховицы	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
142 км	142 км	Луховицы, Подлипки	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
18 км	18 км	Семеновский, Карасево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
29 км	29 км	Пожога, БАРМИНО	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
30 км	30 км	Даниловская, 38 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
32 км	32 км32 км	Егорьевск 2, Ильинский Погост	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
38 км	38 км	30 км, Озеры	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
41 км	41 км	Хрипань, Донино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
42 км	42 км	Кратово, Фабричная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
47 км	47 км	Раменское, Совхоз	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
47 км	47 км	Сазоново, Рязановка	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
49 км	49 км	Донино, 52 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
52 км	52 км	49 км, Григорово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
55 км	55 км	Григорово, Гжель	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
6 км	6 км	Бачманово, Сычово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
63 км	63 км	Белозерский, Радуга	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
73 км	73 км	Шевлягино, Анциферово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
8 км		Луховицы, Сарыбьево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
88 км	88 км	Трофимово, Воскресенск	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
90 км	90 км	Куровская, 95 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
95 км	95 км	90 км, Авсюнино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Авсюнино	Авсюнино	95 км, Заполицы	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Алпатьево	Алпатьево	Фруктовая, Слемы (Рязанская область)	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Анциферово	Анциферово	73 км, Подосинки	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Бармино	ЕСР: 232516		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Бачманово	Бачманово	Голутвин, 6 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Белозерский	Белоозёрская	63 км, Фаустово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Берендино	Берендино	Лопатино, Ильинский Погост	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Ботино	Ботино	Шатура, Кривандино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Бронницы	Бронницы	Загорново, Радуга	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Быково	Быково	Удельная, Ильинская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Вешняки	Вешняки	Плющево, Выхино	Г.МОСКВА	Московская ж.д., Московско-Рязанское отд.		
Виноградово	Виноградово	Золотово, Конобеево	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Воймежный	ЕСР: 232323		МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Воймежный	Воймежный	Туголесье, Черусти	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Воскресенск	Воскресенск	Ратмирово, 88 км, Лопатино, Хорлово, Шиферная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Выхино	Выхино	Вешняки, Косино	Г.МОСКВА	Московская ж.д., Московско-Рязанское отд.		
Вялки	Вялки	Родники, Хрипань	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Гжель	Гжель	Игнатьево, 55 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Голутвин	Голутвин	Коломна, Бачманово, Щурово	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Григорово	Григорово	52 км, 55 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Давыдово	Давыдово	Руново, Куровская, Нерская	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Даниловская	Даниловская	Кудрявцево, 30 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Дзержинская		Яничкино	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Донино	Донино	41 км, 49 км	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Егорьевск 1		Егорьевск 2	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Егорьевск 2	Егорьевск II	32 км, Рудниковская, Егорьевск 1	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Загорново	Загорново	Совхоз, Бронницы	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Заполицы	Заполицы	Авсюнино, Запутная	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
Запутная	Запутная	Заполицы, Шатурторф	МОСКОВСКАЯ ОБЛАСТЬ	Московская ж.д., Московско-Рязанское отд.		
